Amount,CustomerID,TransactionAmount,Timestamp,MerchantID,AnomalyScore,Category,Age,Address,AccountBalance,LastLogin,SuspiciousFlag,Timestamp1,Hour,gap,FraudIndicator
24.186595348807444,5124.0,90.26900827087177,2022-01-01 00:00:00,2559.0,0.1799082808494257,Retail,41.0,Address 5124,6169.910841065496,2033-04-16,0,2022-01-01 00:00:00,0.0,4123.0,0
25.82297239666011,5124.0,68.71137446360248,2022-08-04 09:00:00,4794.0,0.4967372439176348,Other,41.0,Address 5124,6169.910841065496,2033-04-16,0,2022-08-04 09:00:00,9.0,3908.0,0
63.87881401295122,6215.0,90.85492462361758,2022-01-01 02:00:00,8014.0,0.0033379153129534,Retail,18.0,Address 6215,2901.465709546694,2036-04-11,0,2022-01-01 02:00:00,2.0,5214.0,1
26.543892800900043,5538.0,61.09045862993977,2022-06-04 22:00:00,8026.0,0.2445083100533914,Online,33.0,Address 5538,1929.2592449115848,2034-06-04,0,2022-06-04 22:00:00,22.0,4383.0,0
94.93928551338168,6022.0,22.252736222695106,2022-01-01 05:00:00,3314.0,0.6146819283772117,Food,41.0,Address 6022,3900.5840253851575,2035-10-01,0,2022-01-01 05:00:00,5.0,5021.0,0
72.26535496551585,3082.0,89.35881081585514,2022-01-01 06:00:00,4757.0,0.0333874411081479,Other,33.0,Address 3975,4556.776239197654,2027-09-13,0,2022-01-01 06:00:00,6.0,2081.0,0
90.52732731553031,3082.0,42.35851229573093,2022-04-05 13:00:00,2981.0,0.8154795463410309,Other,33.0,Address 3975,4556.776239197654,2027-09-13,0,2022-04-05 13:00:00,13.0,1987.0,0
46.49081047973744,6051.0,72.17843899290133,2022-01-01 07:00:00,2449.0,0.3855451955197594,Food,41.0,Address 6051,7557.936631632733,2035-10-30,0,2022-01-01 07:00:00,7.0,5050.0,0
40.040489402588,6051.0,75.78716299069019,2022-05-09 21:00:00,9895.0,0.3433935355014108,Retail,41.0,Address 6051,7557.936631632733,2035-10-30,0,2022-05-09 21:00:00,21.0,4922.0,0
58.35494831849484,6457.0,78.35963050832662,2022-01-01 08:00:00,5622.0,0.1325138927372645,Online,36.0,Address 6457,9554.57810520004,2036-12-09,0,2022-01-01 08:00:00,8.0,5456.0,0
28.7317949349833,6457.0,37.294467956627656,2022-02-11 13:00:00,2678.0,0.2398429456318628,Retail,36.0,Address 6457,9554.57810520004,2036-12-09,0,2022-02-11 13:00:00,13.0,5415.0,0
16.561276487271943,6457.0,36.85219975439472,2022-10-06 18:00:00,6101.0,0.2573800693556307,Other,36.0,Address 6457,9554.57810520004,2036-12-09,0,2022-10-06 18:00:00,18.0,5178.0,0
63.9969338430852,3095.0,19.59164071107129,2022-01-01 09:00:00,6754.0,0.8216870835857197,Online,20.0,Address 3095,5925.022905273821,2027-09-26,0,2022-01-01 09:00:00,9.0,2094.0,0
99.22055314524415,3095.0,21.714329215195377,2022-02-17 08:00:00,4058.0,0.6834721248288262,Retail,20.0,Address 3095,5925.022905273821,2027-09-26,0,2022-02-17 08:00:00,8.0,2047.0,0
64.67752195428454,3095.0,79.94801801798948,2022-04-26 21:00:00,2038.0,0.5903048000040017,Food,20.0,Address 3095,5925.022905273821,2027-09-26,0,2022-04-26 21:00:00,21.0,1979.0,0
69.23979675399961,6709.0,26.59798491225613,2022-02-28 14:00:00,4269.0,0.2296105585736974,Food,48.0,Address 3975,49994.59982272616,2037-08-18,0,2022-02-28 14:00:00,14.0,5650.0,0
50.22975532513016,6709.0,55.4260524779875,2022-09-16 14:00:00,4074.0,0.5467280697824167,Other,48.0,Address 3975,49994.59982272616,2037-08-18,0,2022-09-16 14:00:00,14.0,5450.0,0
85.37532373218106,3415.0,53.67368455288941,2022-01-01 11:00:00,5689.0,0.7160117328688623,Online,50.0,Address 3415,2033.0273702333936,2028-08-11,1,2022-01-01 11:00:00,11.0,2414.0,1
58.489863471153896,3415.0,41.56971387596948,2022-02-19 14:00:00,7582.0,0.1608266512186079,Travel,50.0,Address 3415,2033.0273702333936,2028-08-11,1,2022-02-19 14:00:00,14.0,2365.0,1
61.37025356870433,7369.0,71.28777115479463,2022-01-01 12:00:00,9074.0,0.1084681378313036,Retail,47.0,Address 7369,9690.365046283609,2039-06-09,0,2022-01-01 12:00:00,12.0,6368.0,0
17.23094045710008,7369.0,51.30953867499058,2022-01-02 01:00:00,3156.0,0.8425700802222932,Other,47.0,Address 7369,9690.365046283609,2039-06-09,0,2022-01-02 01:00:00,1.0,6367.0,0
50.86863917971911,7369.0,87.24991017607495,2022-07-23 18:00:00,3051.0,0.7186310374395535,Retail,47.0,Address 7369,9690.365046283609,2039-06-09,0,2022-07-23 18:00:00,18.0,6165.0,0
46.80363979019876,6026.0,36.60800842917351,2022-01-01 14:00:00,7512.0,0.4443518957818385,Travel,64.0,Address 6026,6341.269926377287,2035-10-05,0,2022-01-01 14:00:00,14.0,5025.0,0
67.12053727396452,6931.0,48.53961921350346,2022-01-01 16:00:00,3172.0,0.4981793168812128,Other,59.0,Address 6931,8397.337873844039,2038-03-28,0,2022-01-01 16:00:00,16.0,5930.0,0
